File name, prediction

MEL_dia46_utt14_positive_HAP,happy
MEL_dia25_utt9_neutral_NEU,neutral
MEL_dia33_utt8_positive_NEU,happy
MEL_dia90_utt0_negative_NEU,neutral
MEL_dia40_utt3_neutral_NEU,happy
MEL_dia0_utt9_neutral_NEU,happy
MEL_dia14_utt1_positive_HAP,neutral
MEL_dia73_utt3_neutral_NEU,neutral
MEL_dia68_utt6_positive_NEU,neutral
MEL_dia81_utt0_positive_HAP,neutral
MEL_dia52_utt4_neutral_NEU,neutral
MEL_dia34_utt8_negative_NEU,neutral
MEL_dia64_utt12_negative_SAD,sad
MEL_dia30_utt3_negative_HAP,neutral
MEL_dia4_utt5_negative_FEA,neutral
MEL_dia24_utt5_neutral_NEU,neutral
MEL_dia15_utt7_negative_DIS,neutral
MEL_dia20_utt14_positive_HAP,sad
MEL_dia41_utt14_negative_DIS,happy
MEL_dia9_utt15_positive_HAP,happy
MEL_dia22_utt1_neutral_NEU,neutral
MEL_dia68_utt2_neutral_NEU,sad
MEL_dia13_utt0_positive_NEU,neutral
MEL_dia49_utt19_neutral_NEU,neutral
MEL_dia59_utt9_positive_HAP,neutral
MEL_dia89_utt12_negative_DIS,sad
MEL_dia89_utt15_neutral_NEU,happy
MEL_dia41_utt10_negative_SAD,happy
MEL_dia76_utt11_negative_NEU,neutral
MEL_dia7_utt8_negative_NEU,neutral
MEL_dia50_utt11_neutral_NEU,neutral
MEL_dia32_utt10_negative_SAD,neutral
MEL_dia34_utt6_negative_DIS,happy
MEL_dia74_utt3_negative_NEU,happy
MEL_dia48_utt1_positive_NEU,neutral
MEL_dia21_utt11_negative_DIS,neutral
MEL_dia1_utt5_positive_HAP,sad
MEL_dia26_utt4_neutral_NEU,neutral
MEL_dia68_utt12_positive_HAP,neutral
MEL_dia22_utt8_negative_SAD,neutral
MEL_dia18_utt3_positive_NEU,happy
MEL_dia17_utt11_negative_SAD,neutral
MEL_dia43_utt2_neutral_NEU,neutral
MEL_dia67_utt6_negative_NEU,neutral
MEL_dia11_utt5_negative_FEA,happy
